proposed_code,type,printed_title,stable_target_identity,source_location,status,notes
A-001,artist_spotlight,Al Jarreau,"{""artist_id"": 945, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""3YR92OLKlvkK5oKNekSqXe""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-001; no printed A-xxx assignment exists.
A-002,artist_spotlight,Alabama Shakes,"{""artist_id"": 973, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""16GcWuvvybAoaHr0NqT8Eh""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-002; no printed A-xxx assignment exists.
A-003,artist_spotlight,Aloe Blacc,"{""artist_id"": 986, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""0AtQAehoytV7j1r4O16dRb""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-003; no printed A-xxx assignment exists.
A-004,artist_spotlight,Amy Winehouse,"{""artist_id"": 961, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6Q192DXotxtaysaqNPy5yR""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-004; no printed A-xxx assignment exists.
A-005,artist_spotlight,B.b. King,"{""artist_id"": 896, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""6PAt558ZEZl0DmdXlnjMgD""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-005; no printed A-xxx assignment exists.
A-006,artist_spotlight,Bill Withers,"{""artist_id"": 228, ""retained_genre_slugs"": [""blues_jazz"", ""rnb_soul""], ""spotify_artist_id"": ""1ThoqLcyIYvZn7iWbj8fsj""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-006; no printed A-xxx assignment exists.
A-007,artist_spotlight,Buddy Guy,"{""artist_id"": 930, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2gCsNOpiBaMNh20jQ5prf0""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-007; no printed A-xxx assignment exists.
A-008,artist_spotlight,Curtis Mayfield,"{""artist_id"": 926, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""2AV6XDIs32ofIJhkkDevjm""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-008; no printed A-xxx assignment exists.
A-009,artist_spotlight,Diana Krall,"{""artist_id"": 962, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""5z1VAFwT35EVvCp1XlZZuL""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-009; no printed A-xxx assignment exists.
A-010,artist_spotlight,Earth Wind and Fire,"{""artist_id"": 589, ""retained_genre_slugs"": [""blues_jazz""], ""spotify_artist_id"": ""4QQgXkCYTt3BlENzhyNETg""}",backend/scripts/catalogs/output/topspot40_master_print_catalog.html#artist-spotlight-directory,proposed_pending_gary,Proposed A-010; no printed A-xxx assignment exists.
