artist_name,track_name
Kris Kristofferson,Why Me
Kris Kristofferson,Sunday Mornin' Comin' Down
Kris Kristofferson,For the Good Times
Kris Kristofferson,Loving Her Was Easier
Jerry Jeff Walker,London Homesick Blues
Jerry Jeff Walker,Pissin' in the Wind
Jerry Jeff Walker,Sangria Wine
Townes Van Zandt,If I Needed You
Townes Van Zandt,To Live Is To Fly
Townes Van Zandt,Tecumseh Valley
Rodney Crowell,Ashes By Now
Rodney Crowell,Stars on the Water
Steve Earle,Copperhead Road
Steve Earle,Someday
John Anderson,Swingin'
John Anderson,Seminole Wind
John Anderson,Straight Tequila Night
Roger Miller,Dang Me
Roger Miller,England Swings
Roger Miller,Chug-a-Lug
Ray Price,Heartaches By the Number
Ray Price,City Lights
Ray Price,Night Life
Ernest Tubb,Walking the Floor Over You
Ernest Tubb,Waltz Across Texas
Buck Owens,I've Got a Tiger By the Tail
Buck Owens,Love's Gonna Live Here
Buck Owens,Cryin' Time
Don Gibson,Sea of Heartbreak
Don Gibson,Blue Blue Day
Lefty Frizzell,If You've Got the Money I've Got the Time
Lefty Frizzell,"Saginaw, Michigan"
Faron Young,It's Four in the Morning
Faron Young,Wine Me Up
Loretta Lynn,You Ain't Woman Enough
Loretta Lynn,Fist City
Loretta Lynn,Don't Come Home A-Drinkin'
Tammy Wynette,D-I-V-O-R-C-E
Tammy Wynette,Til I Can Make It On My Own
Tammy Wynette,Kids Say the Darndest Things
The Judds,Mama He's Crazy
The Judds,Grandpa (Tell Me 'Bout the Good Old Days)
The Judds,Love Can Build a Bridge
brooks and dunn,Neon Moon
Don Williams,Good Ole Boys Like Me
