artist_name,track_name
creedence clearwater revival,Green River
creedence clearwater revival,Down on the Corner
creedence clearwater revival,Up Around the Bend
creedence clearwater revival,Have You Ever Seen the Rain
creedence clearwater revival,Who'll Stop the Rain
dire straits,Sultans of Swing
dire straits,So Far Away
dire straits,Walk of Life
dire straits,Tunnel of Love
Tom Petty,American Girl
Tom Petty,Refugee
Tom Petty,Learning to Fly
Tom Petty,I Won't Back Down
rod stewart,Mandolin Wind
rod stewart,You Wear It Well
rod stewart,Sailing
Little River Band,Lonesome Loser
Little River Band,Take It Easy on Me
Little River Band,Help Is on Its Way
billy joel,Piano Man
billy joel,The Entertainer
billy joel,Scenes from an Italian Restaurant
Jim Croce,I'll Have to Say I Love You in a Song
Jim Croce,Workin' at the Car Wash Blues
Jim Croce,Bad Bad Leroy Brown
Jackson Browne,The Pretender
Jackson Browne,Somebody's Baby
Foreigner,Cold as Ice
Foreigner,Feels Like the First Time
REO Speedwagon,Time for Me to Fly
REO Speedwagon,Take It on the Run
Roy Orbison,Only the Lonely
The Drifters,Under the Boardwalk
The Drifters,Up on the Roof
Frankie Valli,Rag Doll
the animals,Don't Let Me Be Misunderstood
Bachman-Turner Overdrive,Let It Ride
Bad Company,Feel Like Makin' Love
Atlanta Rhythm Section,So Into You
Marshall Tucker Band,Can't You See
Carpenters,Superstar
The Mamas & The Papas,California Dreamin'
eagles,Already Gone
steve miller band,Rock'n Me
The Doobie Brothers,China Grove
Dan Fogelberg,Same Old Lang Syne
Harry Chapin,Cat's in the Cradle
The Vogues,Five O'Clock World
creedence clearwater revival,Lodi
creedence clearwater revival,Travelin' Band
rod stewart,Tonight's the Night
