cohort,artist_id,artist_name,track_name,historical_year,accepted_spotify_artist_id
1950s-1960s,538,Ben E. King,Spanish Harlem,1961,
1950s-1960s,538,Ben E. King,Don't Play That Song,1962,
1950s-1960s,538,Ben E. King,I (Who Have Nothing),1963,
1950s-1960s,189,The Kinks,All Day and All of the Night,1964,
1950s-1960s,189,The Kinks,Tired of Waiting for You,1965,
1950s-1960s,189,The Kinks,Sunny Afternoon,1966,
1950s-1960s,189,The Kinks,Waterloo Sunset,1967,
1950s-1960s,189,The Kinks,Lola,1970,
1950s-1960s,168,The Mamas & the Papas,Dedicated to the One I Love,1967,
1950s-1960s,168,The Mamas & the Papas,Creeque Alley,1967,
1950s-1960s,172,Buffalo Springfield,Bluebird,1967,
1950s-1960s,172,Buffalo Springfield,Expecting to Fly,1967,
1950s-1960s,163,The Righteous Brothers,(You're My) Soul and Inspiration,1966,
1950s-1960s,163,The Righteous Brothers,Ebb Tide,1965,
1950s-1960s,163,The Righteous Brothers,Rock and Roll Heaven,1974,
1950s-1960s,546,Sam & Dave,Soul Man,1967,
1950s-1960s,546,Sam & Dave,I Thank You,1968,
1950s-1960s,546,Sam & Dave,When Something Is Wrong with My Baby,1966,
1950s-1960s,958,Nina Simone,I Put a Spell on You,1965,
1950s-1960s,958,Nina Simone,Sinnerman,1965,
1950s-1960s,958,Nina Simone,"To Be Young, Gifted and Black",1969,
1950s-1960s,958,Nina Simone,My Baby Just Cares for Me,1959,
1970s-foundations,223,ABBA,Waterloo,1974,
1970s-foundations,223,ABBA,Mamma Mia,1975,
1970s-foundations,223,ABBA,Fernando,1976,
1970s-foundations,223,ABBA,Take a Chance on Me,1978,
1970s-foundations,223,ABBA,The Winner Takes It All,1980,
1970s-foundations,211,Anne Murray,Snowbird,1970,
1970s-foundations,211,Anne Murray,Danny's Song,1972,
1970s-foundations,211,Anne Murray,A Love Song,1973,
1970s-foundations,211,Anne Murray,Could I Have This Dance,1980,
1970s-foundations,1848,Chicago,25 or 6 to 4,1970,
1970s-foundations,1848,Chicago,Saturday in the Park,1972,
1970s-foundations,1848,Chicago,Just You 'n' Me,1973,
1970s-foundations,1848,Chicago,Hard to Say I'm Sorry,1982,
1970s-foundations,1848,Chicago,Hard Habit to Break,1984,
1970s-foundations,1879,Carole King,So Far Away,1971,
1970s-foundations,1879,Carole King,I Feel the Earth Move,1971,
1970s-foundations,1879,Carole King,Jazzman,1974,
1970s-foundations,1879,Carole King,Sweet Seasons,1972,
1970s-foundations,227,Carly Simon,Anticipation,1971,
1970s-foundations,227,Carly Simon,Nobody Does It Better,1977,
1970s-foundations,227,Carly Simon,Mockingbird,1974,
1970s-foundations,227,Carly Simon,Haven't Got Time for Pain,1974,
1970s-foundations,1882,Cat Stevens,Father and Son,1970,08F3Y3SctIlsOEmKd6dnH8
1970s-foundations,1882,Cat Stevens,Moonshadow,1971,08F3Y3SctIlsOEmKd6dnH8
1970s-foundations,1882,Cat Stevens,Morning Has Broken,1971,08F3Y3SctIlsOEmKd6dnH8
1970s-foundations,1882,Cat Stevens,Another Saturday Night,1974,08F3Y3SctIlsOEmKd6dnH8
1970s-foundations,225,Don McLean,And I Love You So,1970,
1970s-foundations,225,Don McLean,Castles in the Air,1970,
1970s-foundations,237,Lynyrd Skynyrd,Gimme Three Steps,1973,
1970s-foundations,237,Lynyrd Skynyrd,Simple Man,1973,
1970s-foundations,237,Lynyrd Skynyrd,Tuesday's Gone,1973,
1970s-foundations,237,Lynyrd Skynyrd,That Smell,1977,
1970s-foundations,242,Kansas,Point of Know Return,1977,
1970s-foundations,242,Kansas,The Wall,1976,
1970s-foundations,242,Kansas,Song for America,1975,
1970s-foundations,241,KISS,Beth,1976,
1970s-foundations,241,KISS,Detroit Rock City,1976,
1970s-foundations,241,KISS,Shout It Out Loud,1976,
1970s-foundations,241,KISS,I Was Made for Lovin' You,1979,
1970s-foundations,303,George Harrison,My Sweet Lord,1970,
1970s-foundations,303,George Harrison,What Is Life,1970,
1970s-foundations,303,George Harrison,Give Me Love,1973,
1970s-foundations,303,George Harrison,All Those Years Ago,1981,
1970s-foundations,2899,The Band,Ophelia,1975,
1970s-foundations,2899,The Band,It Makes No Difference,1975,
1970s-foundations,1851,Bread,Everything I Own,1972,
1970s-foundations,1851,Bread,Baby I'm-a Want You,1971,
1970s-foundations,1851,Bread,The Guitar Man,1972,
1970s-foundations,1851,Bread,Lost Without Your Love,1976,
1970s-foundations,1857,Air Supply,Every Woman in the World,1980,
1970s-foundations,1857,Air Supply,Even the Nights Are Better,1982,
1970s-foundations,1857,Air Supply,Making Love Out of Nothing at All,1983,
1970s-foundations,512,Nitty Gritty Dirt Band,Mr. Bojangles,1970,
1970s-foundations,512,Nitty Gritty Dirt Band,Long Hard Road,1984,
1970s-foundations,512,Nitty Gritty Dirt Band,Modern Day Romance,1985,
1980s-foundations,1436,Bryan Adams,Cuts Like a Knife,1983,
1980s-foundations,1436,Bryan Adams,Run to You,1984,
1980s-foundations,1436,Bryan Adams,Somebody,1984,
1980s-foundations,1436,Bryan Adams,(Everything I Do) I Do It for You,1991,
1980s-foundations,286,Eurythmics,Here Comes the Rain Again,1983,
1980s-foundations,286,Eurythmics,Would I Lie to You?,1985,
1980s-foundations,286,Eurythmics,Missionary Man,1986,
1980s-foundations,286,Eurythmics,Thorn in My Side,1986,
1980s-foundations,1045,Ozzy Osbourne,Bark at the Moon,1983,
1980s-foundations,1045,Ozzy Osbourne,Shot in the Dark,1986,
1980s-foundations,1045,Ozzy Osbourne,"Mama, I'm Coming Home",1991,
1980s-foundations,1045,Ozzy Osbourne,No More Tears,1991,
1980s-foundations,1871,Daryl Hall & John Oates,Rich Girl,1976,
1980s-foundations,1871,Daryl Hall & John Oates,Kiss on My List,1980,
1980s-foundations,1871,Daryl Hall & John Oates,Private Eyes,1981,
1980s-foundations,1871,Daryl Hall & John Oates,Maneater,1982,
1980s-foundations,1871,Daryl Hall & John Oates,Out of Touch,1984,
1980s-foundations,277,Cyndi Lauper,True Colors,1986,
1980s-foundations,277,Cyndi Lauper,She Bop,1983,
1980s-foundations,277,Cyndi Lauper,All Through the Night,1983,
1980s-foundations,284,Duran Duran,Rio,1982,
1980s-foundations,284,Duran Duran,Save a Prayer,1982,
1980s-foundations,284,Duran Duran,The Reflex,1983,
1980s-foundations,284,Duran Duran,The Wild Boys,1984,
1980s-foundations,284,Duran Duran,Ordinary World,1992,
1980s-foundations,1897,Pat Benatar,Heartbreaker,1979,
1980s-foundations,1897,Pat Benatar,Shadows of the Night,1982,
1980s-foundations,1897,Pat Benatar,Love Is a Battlefield,1983,
1980s-foundations,1897,Pat Benatar,We Belong,1984,
1980s-foundations,1864,The Cars,Just What I Needed,1978,
1980s-foundations,1864,The Cars,Good Times Roll,1978,
1980s-foundations,1864,The Cars,Shake It Up,1981,
1980s-foundations,1864,The Cars,You Might Think,1984,
1980s-foundations,1894,Joan Jett & The Blackhearts,Bad Reputation,1980,
1980s-foundations,1894,Joan Jett & The Blackhearts,Crimson and Clover,1981,
1980s-foundations,1894,Joan Jett & The Blackhearts,I Hate Myself for Loving You,1988,
1980s-foundations,1032,Men at Work,Who Can It Be Now?,1981,
1980s-foundations,1032,Men at Work,Overkill,1983,
1980s-foundations,1060,New Order,Bizarre Love Triangle,1986,
1980s-foundations,1060,New Order,True Faith,1987,
1980s-foundations,1060,New Order,Regret,1993,
1980s-foundations,606,The Pointer Sisters,Fire,1978,
1980s-foundations,606,The Pointer Sisters,He's So Shy,1980,
1980s-foundations,606,The Pointer Sisters,Automatic,1983,
1980s-foundations,606,The Pointer Sisters,Neutron Dance,1983,
1980s-foundations,1038,Rick James,Give It to Me Baby,1981,
1980s-foundations,1038,Rick James,Mary Jane,1978,
1980s-foundations,1038,Rick James,You and I,1978,
1980s-foundations,314,Yes,Roundabout,1971,
1980s-foundations,314,Yes,I've Seen All Good People,1971,
1980s-foundations,314,Yes,Long Distance Runaround,1971,
1980s-foundations,314,Yes,Leave It,1983,
1980s-foundations,1048,Judas Priest,Living After Midnight,1980,
1980s-foundations,1048,Judas Priest,You've Got Another Thing Comin',1982,
1980s-foundations,1048,Judas Priest,Turbo Lover,1986,
1980s-foundations,293,Simple Minds,Alive and Kicking,1985,
1980s-foundations,293,Simple Minds,Sanctify Yourself,1986,
1990s-2000s-foundations,2797,R.E.M.,The One I Love,1987,
1990s-2000s-foundations,2797,R.E.M.,Stand,1988,
1990s-2000s-foundations,2797,R.E.M.,Everybody Hurts,1992,
1990s-2000s-foundations,2797,R.E.M.,Man on the Moon,1992,
1990s-2000s-foundations,2797,R.E.M.,"What's the Frequency, Kenneth?",1994,
1990s-2000s-foundations,372,The Cranberries,Linger,1993,
1990s-2000s-foundations,372,The Cranberries,Dreams,1993,
1990s-2000s-foundations,372,The Cranberries,Ode to My Family,1994,
1990s-2000s-foundations,372,The Cranberries,Salvation,1996,
1990s-2000s-foundations,1059,The Smiths,This Charming Man,1983,
1990s-2000s-foundations,1059,The Smiths,Heaven Knows I'm Miserable Now,1984,
1990s-2000s-foundations,1059,The Smiths,Bigmouth Strikes Again,1986,
1990s-2000s-foundations,301,Tracy Chapman,Talkin' 'bout a Revolution,1988,
1990s-2000s-foundations,301,Tracy Chapman,Baby Can I Hold You,1988,
1990s-2000s-foundations,301,Tracy Chapman,Give Me One Reason,1995,
1990s-2000s-foundations,374,Alice in Chains,Would?,1992,
1990s-2000s-foundations,374,Alice in Chains,Down in a Hole,1992,
1990s-2000s-foundations,374,Alice in Chains,No Excuses,1994,
1990s-2000s-foundations,362,Fugees,Ready or Not,1996,
1990s-2000s-foundations,362,Fugees,Fu-Gee-La,1996,
1990s-2000s-foundations,339,No Doubt,Just a Girl,1995,
1990s-2000s-foundations,339,No Doubt,Spiderwebs,1995,
1990s-2000s-foundations,339,No Doubt,Hella Good,2001,
1990s-2000s-foundations,339,No Doubt,Underneath It All,2001,
